"TaxonID","SIFS","Scientific.name","Vernacular.name","Family","Introduced","Nb..Obs.","Years..min.","Years..max.","Doubtful....","IUCN.status","WS.Code"
1015980,143900,"Dryopteris villarii (Bellardi) Schinz & Thell.",NA,"Dryopteridaceae",NA,10,1982,2024,NA,"Least concern",NA
1016320,145900,"Eleocharis quinqueflora (Hartmann) O. Schwarz",NA,"Cyperaceae",NA,1,1982,2021,NA,"Least concern",NA
1016400,146460,"Elymus caninus (L.) L.",NA,"Poaceae",NA,2,2019,2021,NA,"Least concern",NA
1016460,146600,"Elyna myosuroides (Vill.) Fritsch",NA,"Cyperaceae",NA,3,1968,2024,NA,"Least concern",NA
1016470,146795,"Empetrum nigrum L.",NA,"Ericaceae",NA,0,1982,1982,NA,"Least concern",NA
1016490,146900,"Empetrum nigrum subsp. hermaphroditum (Hagerup) Böcher",NA,"Ericaceae",NA,0,1982,1982,NA,"Least concern",NA
1016510,147300,"Epilobium alpestre (Jacq.) Krock.",NA,"Onagraceae",NA,9,2004,2024,NA,"Least concern",NA
1016520,147500,"Epilobium alsinifolium Vill.",NA,"Onagraceae",NA,6,1962,2024,NA,"Least concern",NA
1016530,147600,"Epilobium anagallidifolium Lam.",NA,"Onagraceae",NA,1,1982,2017,NA,"Least concern",NA
1016540,147700,"Epilobium angustifolium L.",NA,"Onagraceae",NA,8,1982,2024,NA,"Least concern",NA
1016590,148200,"Epilobium fleischeri Hochst.",NA,"Onagraceae",NA,1,2017,2017,NA,"Least concern",NA
1016620,148600,"Epilobium montanum L.",NA,"Onagraceae",NA,8,2004,2024,NA,"Least concern",NA
1016630,148700,"Epilobium nutans F. W. Schmidt",NA,"Onagraceae",NA,2,2014,2014,NA,"Least concern",NA
1016650,148900,"Epilobium palustre L.",NA,"Onagraceae",NA,6,2014,2014,NA,"Least concern",NA
1016740,149600,"Epipactis atrorubens Besser",NA,"Orchidaceae",NA,12,2009,2024,NA,"Least concern",NA
1016770,149660,"Epipactis helleborine (L.) Crantz",NA,"Orchidaceae",NA,3,2009,2023,NA,"Least concern",NA
1016780,149800,"Epipactis helleborine aggr.",NA,"Orchidaceae",NA,3,2009,2023,NA,"Least concern",NA
1016910,150500,"Epipogium aphyllum Sw.",NA,"Orchidaceae",NA,1,1970,1970,NA,"Vulnerable",NA
1016920,150600,"Equisetum arvense L.",NA,"Equisetaceae",NA,6,2009,2024,NA,"Least concern",NA
