"","X","predator","q0","q1","q2","chao1","species","site","age","time_min","time_hour","day","month","year.x","beak_colour","color","temperature","clouds","clouds_height","winds","precipitation","fresh_snow","snow_height","cover_snow","elevation","weight","fat","muscle","sex_genetics","timekey","key_m100","capture_day","E1","E1_adj","total_ra","anthropo_ra","failures","ringnr","recapture","year.y","recap_num","nrecapture"
"36",36,"N630740",75,1.4072856052647,0.621908971903961,75,"Montifringilla nivalis","Tiefenbach",6,35,17,27,3,2024,9.5,"black",-2,8,NA,0,"no",30,NA,97,2102,37,3,2,"m","2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27",0.018763808070196,0.0237250059251424,3858410,132752,3725658,630740,"first capture",2021,0,1
"37",37,"N630803",54,0.511048161916879,0.209974448542529,54,"Montifringilla nivalis","Distelboden",6,30,11,12,1,2023,2,"grey",0,8,NA,2,"no",10,NA,94,1898,53.5,6,2,"m","2023-01-12 11:30","2023-01-12 09:50:00","2023-01-12",0.00946385485031257,0.0145209285116496,3671233,3252701,418532,630803,"first capture",2022,0,2
"38",38,"N630810a",20,0.0712184491099421,0.021071808930901,20,"Montifringilla nivalis","Tiefenbach",6,15,11,1,4,2023,9.5,"grey",-3,8,NA,0,"snow",10,NA,98,2102,40,2,1,"m","2023-04-01 11:15","2023-04-01 09:35:00","2023-04-01",0.00356092245549711,0.00867885108997652,3256446,3221877,34569,630810,"first capture",2022,0,3
"39",39,"N630980",13,1.40518208507566,0.661300015751383,13,"Montifringilla nivalis","Tiefenbach",6,25,10,18,1,2023,2,"grey",-11,1,NA,2,"no",3,NA,98,2102,45.5,5,1,"f","2023-01-18 10:25","2023-01-18 08:45:00","2023-01-18",0.108090929621205,0.112131229315831,2909626,1828991,1080635,630980,"first capture",2021,0,2
"40",40,"N687069",8,0.0234396733099732,0.00550702449582241,8,"Montifringilla nivalis","Tiefenbach",5,20,8,1,4,2023,9,"grey",-4,8,NA,0,"snow",10,NA,98,2102,37,3,1,"f","2023-04-01 08:20","2023-04-01 06:40:00","2023-04-01",0.00292995916374665,0.00805439257442967,3439595,3430439,9156,687069,"first capture",2023,0,2
"41",41,"N687069a",79,0.487252732848278,0.16543868356248,79,"Montifringilla nivalis","Tiefenbach",4,35,17,27,3,2024,8,"grey",-2,8,NA,0,"no",30,NA,97,2102,40.5,3,2,"f","2024-03-27 17:35","2024-03-27 15:55:00","2024-03-27",0.00616775611200352,0.0112588101727045,3504144,2155,3501989,687069,"first capture",2023,0,2
"42",42,"N687071",5,0.00468729002504412,0.00108234678277064,5,"Montifringilla nivalis","Tiefenbach",6,35,8,1,4,2023,10,"grey",-4,8,NA,0,"snow",10,NA,98,2102,38.5,3,2,"m","2023-04-01 08:35","2023-04-01 06:55:00","2023-04-01",0.000937458005008824,0.006082432664751,3573674,3571739,1935,687071,"first capture",2023,0,1
"43",43,"N687078",44,1.85451506201579,0.758220175321519,44,"Montifringilla nivalis","Tiefenbach",6,55,8,11,3,2025,6.5,"grey",NA,5,3200,0,"no",0,150,96,2102,39,3,2,"m","2025-03-11 08:55","2025-03-11 07:15:00","2025-03-11",0.042148069591268,0.0468681925851724,2723268,1360600,1362668,687078,"first capture",2023,0,1
"44",44,"N687099",113,1.02748388649347,0.395063145689956,113,"Montifringilla nivalis","Distelboden",5,0,10,25,2,2023,4,"grey",-2,8,NA,0,"no",10,NA,97,1898,37,2,2,"m","2023-02-25 10:00","2023-02-25 08:20:00","2023-02-25",0.00909277775657938,0.0141536769549652,3685451,327289,3358162,687099,"first capture",2023,0,1
"45",45,"N687131",30,1.2959329481315,0.586405305458909,30,"Montifringilla nivalis","Corviglia",6,10,11,25,1,2023,4,"white",-4,1,NA,1,"no",0,NA,98,2473,54.5,6,1,"f","2023-01-25 11:10","2023-01-25 09:30:00","2023-01-25",0.0431977649377167,0.0479070663301113,3789142,42894,3746248,687131,"first capture",2023,0,0
"46",46,"N687138",58,1.99411839357193,0.760994820090581,58,"Montifringilla nivalis","Corviglia",6,5,12,25,1,2023,2,"white",-4,1,NA,1,"no",0,NA,98,2473,45,5,1,"f","2023-01-25 12:05","2023-01-25 10:25:00","2023-01-25",0.0343813516133091,0.0391815438647183,3235389,107508,3127881,687138,"first capture",2023,0,0
"47",47,"N687140",40,1.66341767865111,0.702226671258533,40,"Montifringilla nivalis","Corviglia",5,5,12,25,1,2023,NA,"white",-4,1,NA,1,"no",0,NA,98,2479,43.5,4,1,"m","2023_1_25_12_5","2023-01-25 10:25:00",NA,0.0415854419662777,0.0463113652449759,3221347,231339,2990008,687140,"first capture",2023,0,0
"48",48,"N687153",9,0.622124118788298,0.337459534493974,9,"Montifringilla nivalis","Arosa",4,49,11,2,2,2023,2,"grey",-3,8,NA,1,"snow",5,NA,96,1898,39,4,1,"m","2023-02-02 11:49","2023-02-02 10:09:00","2023-02-02",0.0691249020875887,0.0735669134062733,3497148,2977342,519806,687153,"first capture",2023,0,0
"49",49,"N687158",5,0.885133117259151,0.47637313642178,5,"Montifringilla nivalis","Arosa",4,0,14,2,2,2023,3,"grey",-3,8,NA,1,"snow",5,NA,96,1898,42,4,1,"f","2023-02-02 14:00","2023-02-02 12:20:00","2023-02-02",0.17702662345183,0.180356245890471,2561479,2263372,298107,687158,"first capture",2023,0,0
"50",50,"N687397",92,1.86188242347367,0.750371704049804,92,"Montifringilla nivalis","Tiefenbach",5,55,13,10,2,2024,4,"black",0,7,NA,2,"no",10,NA,92,2102,45,5,2,"f","2024-02-10 13:55","2024-02-10 12:15:00","2024-02-10",0.0202378524290616,0.0251838539504115,3486890,2403908,1082982,687397,"first capture",2024,0,0
"51",51,"N687435",130,1.31279140042656,0.537931590628651,130,"Montifringilla nivalis","Tiefenbach",4,0,17,27,3,2024,6,"black",-2,8,NA,0,"no",30,NA,97,2102,40,3,2,"f","2024-03-27 17:00","2024-03-27 15:20:00","2024-03-27",0.0100983953878966,0.015148927394207,3852636,2801258,1051378,687435,"first capture",2024,0,1
"52",52,"N687442",6,0.410214636597289,0.194362407782306,6,"Montifringilla nivalis","Tiefenbach",6,25,8,28,3,2024,7.5,"black",-3,8,NA,0,"snow",35,NA,97,2102,39,3,2,"f","2024-03-28 08:25","2024-03-28 06:45:00","2024-03-28",0.0683691060995482,0.0728189091294497,2729616,2591393,138223,687442,"first capture",2024,0,0
"53",53,"N687471",188,1.681030385193,0.662852010884028,188,"Montifringilla nivalis","Distelboden",6,23,11,13,2,2025,6,"black",NA,7,2400,2,"snow",0,39,91,1899,42,4,2,"m","2025-02-13 11:23","2025-02-13 09:43:00","2025-02-13",0.00894165098506915,0.0140041081914086,4328391,3446,4324945,687471,"first capture",2024,0,1
